School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Westland School,Cholla Academy,Math,175,14,Percent Performance Level 1,66
Westland School Brighton Campus,Cholla Academy,Math,165,21,Percent Performance Level 1,58
Great Hearts Academies - Cicero Prep,Cicero Preparatory Academy,Math,430,63,Percent Performance Level 1,17
City High School,CITY Center for Collaborative Learning,Math,132,22,Percent Performance Level 1,54
Paulo Freire Freedom School - Downtown,CITY Center for Collaborative Learning,Math,70,40,Percent Performance Level 1,29
Paulo Freire Freedom School - University,CITY Center for Collaborative Learning,Math,72,53,Percent Performance Level 1,28
Clarkdale-Jerome Elementary School,Clarkdale-Jerome Elementary District,Math,332,46,Percent Performance Level 1,26
Berean Academy,Cochise Community Development Corporation,Math,253,21,Percent Performance Level 1,58
Cochise Elementary School,Cochise Elementary District,Math,45,58,Percent Performance Level 1,22
Arizona College Prep Academy,"Collaborative Pathways, Inc.",Math,85,28,Percent Performance Level 1,44
Cottonwood Elementary,Colorado City Unified District,Math,146,64,Percent Performance Level 1,17
El Capitan Public School,Colorado City Unified District,Math,177,47,Percent Performance Level 1,34
Mohave High School,Colorado River Union High School District,Math,739,14,Percent Performance Level 1,64
River Valley High School,Colorado River Union High School District,Math,379,17,Percent Performance Level 1,64
Northpoint Expeditionary Learning Academy,"Compass Points International, Inc",Math,118,31,Percent Performance Level 1,45
Concho Elementary School,Concho Elementary District,Math,99,31,Percent Performance Level 1,31
Concordia Charter School,"Concordia Charter School, Inc.",Math,58,34,Percent Performance Level 1,36
Congress Elementary School,Congress Elementary District,Math,77,70,Percent Performance Level 1,13
Continental Elementary School,Continental Elementary District,Math,390,49,Percent Performance Level 1,27
Coolidge Jr. High School,Coolidge Unified District,Math,388,13,Percent Performance Level 1,68
Heartland Ranch Elementary School,Coolidge Unified District,Math,267,19,Percent Performance Level 1,59
West Elementary School,Coolidge Unified District,Math,399,18,Percent Performance Level 1,60
Imagine Cortez Park Middle,"Cortez Park Charter Middle School, Inc.",Math,236,38,Percent Performance Level 1,39
Cottonwood Elementary School,Cottonwood-Oak Creek Elementary District,Math,406,23,Percent Performance Level 1,49
Cottonwood Middle School,Cottonwood-Oak Creek Elementary District,Math,443,25,Percent Performance Level 1,54
Mountain View Preparatory School,Cottonwood-Oak Creek Elementary District,Math,344,46,Percent Performance Level 1,26
Oak Creek Elementary School,Cottonwood-Oak Creek Elementary District,Math,151,25,Percent Performance Level 1,40
Country Gardens Charter School,Country Gardens Charter Schools,Math,275,35,Percent Performance Level 1,32
Centennial Middle School,Crane Elementary District,Math,790,41,Percent Performance Level 1,44
Crane Middle School,Crane Elementary District,Math,863,40,Percent Performance Level 1,41
Gary A. Knox Elementary School,Crane Elementary District,Math,405,41,Percent Performance Level 1,30
Gowan Science Academy,Crane Elementary District,Math,237,76,Percent Performance Level 1,9
H L Suverkrup Elementary School,Crane Elementary District,Math,247,60,Percent Performance Level 1,23
Mesquite Elementary,Crane Elementary District,Math,380,54,Percent Performance Level 1,18
Pueblo Elementary School,Crane Elementary District,Math,347,47,Percent Performance Level 1,26
Rancho Viejo Elementary School,Crane Elementary District,Math,358,31,Percent Performance Level 1,40
Ronald Reagan Fundamental School,Crane Elementary District,Math,357,42,Percent Performance Level 1,32
Salida Del Sol Elementary,Crane Elementary District,Math,134,40,Percent Performance Level 1,37
Valley Horizon Elementary School,Crane Elementary District,Math,338,31,Percent Performance Level 1,41
Biltmore Preparatory Academy,Creighton Elementary District,Math,312,54,Percent Performance Level 1,20
Creighton Elementary School,Creighton Elementary District,Math,463,23,Percent Performance Level 1,60
Excelencia School,Creighton Elementary District,Math,499,30,Percent Performance Level 1,46
Gateway School,Creighton Elementary District,Math,493,18,Percent Performance Level 1,58
Larry C Kennedy School,Creighton Elementary District,Math,387,20,Percent Performance Level 1,59
Loma Linda Elementary School,Creighton Elementary District,Math,395,24,Percent Performance Level 1,47
Monte Vista Elementary School,Creighton Elementary District,Math,517,34,Percent Performance Level 1,43
Papago School,Creighton Elementary District,Math,602,19,Percent Performance Level 1,55
William T Machan Elementary School,Creighton Elementary District,Math,308,22,Percent Performance Level 1,53
Daisy Education Corporation dba Sonoran Science Academy Broadway,Daisy Education Corporation,Math,216,67,Percent Performance Level 1,14
Paragon Science Academy,Daisy Education Corporation dba Paragon Science Academy,Math,301,74,Percent Performance Level 1,10
Sonoran Science Academy - Tucson,Daisy Education Corporation dba Sonoran Science Academy,Math,419,64,Percent Performance Level 1,14
Sonoran Science Academy - Phoenix,Daisy Education Corporation dba Sonoran Science Academy - Phoenix,Math,243,23,Percent Performance Level 1,56
Sonoran Science Academy - Davis Monthan,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan,Math,150,59,Percent Performance Level 1,22
Sonoran Science Academy-Peoria,Daisy Education Corporation dba. Sonoran Science Academy Peoria,Math,157,54,Percent Performance Level 1,22
Anthem School,Deer Valley Unified District,Math,431,68,Percent Performance Level 1,14
Arrowhead Elementary School,Deer Valley Unified District,Math,323,62,Percent Performance Level 1,15
Barry Goldwater High School,Deer Valley Unified District,Math,1313,31,Percent Performance Level 1,48
Bellair Elementary School,Deer Valley Unified District,Math,283,53,Percent Performance Level 1,22
Boulder Creek High School,Deer Valley Unified District,Math,1865,53,Percent Performance Level 1,28
Canyon Springs,Deer Valley Unified District,Math,585,68,Percent Performance Level 1,17
Constitution Elementary School,Deer Valley Unified District,Math,339,46,Percent Performance Level 1,26
Copper Creek Elementary,Deer Valley Unified District,Math,436,71,Percent Performance Level 1,12
Deer Valley High School,Deer Valley Unified District,Math,1161,41,Percent Performance Level 1,35
Deer Valley Middle School,Deer Valley Unified District,Math,550,22,Percent Performance Level 1,61
Deer Valley Online Learning Program,Deer Valley Unified District,Math,487,54,Percent Performance Level 1,26
Desert Mountain School,Deer Valley Unified District,Math,454,60,Percent Performance Level 1,21
Desert Sage Elementary School,Deer Valley Unified District,Math,313,65,Percent Performance Level 1,14
Desert Sky Middle School,Deer Valley Unified District,Math,608,41,Percent Performance Level 1,34
Diamond Canyon Elementary,Deer Valley Unified District,Math,699,70,Percent Performance Level 1,12
Esperanza Elementary School,Deer Valley Unified District,Math,297,34,Percent Performance Level 1,38
Gavilan Peak Elementary,Deer Valley Unified District,Math,562,60,Percent Performance Level 1,17
Greenbrier Elementary School,Deer Valley Unified District,Math,192,60,Percent Performance Level 1,16
Highland Lakes School,Deer Valley Unified District,Math,867,69,Percent Performance Level 1,15
Hillcrest Middle School,Deer Valley Unified District,Math,965,54,Percent Performance Level 1,22
Las Brisas Elementary School,Deer Valley Unified District,Math,467,66,Percent Performance Level 1,14
Legend Springs Elementary,Deer Valley Unified District,Math,381,81,Percent Performance Level 1,6
Mirage Elementary School,Deer Valley Unified District,Math,228,48,Percent Performance Level 1,21
Mountain Ridge High School,Deer Valley Unified District,Math,1622,53,Percent Performance Level 1,28
Mountain Shadows Elementary School,Deer Valley Unified District,Math,252,40,Percent Performance Level 1,29
New River Elementary School,Deer Valley Unified District,Math,135,44,Percent Performance Level 1,31
Norterra Canyon K-8,Deer Valley Unified District,Math,605,59,Percent Performance Level 1,17
Park Meadows Elementary School,Deer Valley Unified District,Math,328,65,Percent Performance Level 1,15
Paseo Hills Elementary,Deer Valley Unified District,Math,563,39,Percent Performance Level 1,33
Sandra Day O'Connor High School,Deer Valley Unified District,Math,1723,44,Percent Performance Level 1,32
Sierra Verde Elementary,Deer Valley Unified District,Math,723,70,Percent Performance Level 1,14
Sonoran Foothills,Deer Valley Unified District,Math,562,75,Percent Performance Level 1,9
Stetson Hills Elementary,Deer Valley Unified District,Math,734,72,Percent Performance Level 1,10
Sunrise Elementary School,Deer Valley Unified District,Math,299,33,Percent Performance Level 1,39
Sunset Ridge Elementary,Deer Valley Unified District,Math,529,63,Percent Performance Level 1,19
Terramar Elementary,Deer Valley Unified District,Math,661,72,Percent Performance Level 1,13
Village Meadows Elementary School,Deer Valley Unified District,Math,273,42,Percent Performance Level 1,29
West Wing Elementary,Deer Valley Unified District,Math,751,70,Percent Performance Level 1,13
Desert Heights Charter School,Desert Heights Charter Schools,Math,146,53,Percent Performance Level 1,9
Desert Heights Preparatory Academy,Desert Heights Charter Schools,Math,413,44,Percent Performance Level 1,32
Desert Springs Academy,Desert Springs Academy,Math,31,58,Percent Performance Level 1,3
Desert Star Academy,Desert Star Academy,Math,234,47,Percent Performance Level 1,27
Desert Star Community School,"Desert Star Community School, Inc.",Math,128,39,Percent Performance Level 1,35
Destiny School,"Destiny School, Inc.",Math,178,66,Percent Performance Level 1,13
Discovery Plus Academy,Discovery Plus Academy,Math,59,47,Percent Performance Level 1,25
Double Adobe Elementary School,Double Adobe Elementary District,Math,19,37,Percent Performance Level 1,16
Clawson School,Douglas Unified District,Math,180,44,Percent Performance Level 1,24
Douglas High School,Douglas Unified District,Math,1145,16,Percent Performance Level 1,62
Faras Elementary School,Douglas Unified District,Math,77,29,Percent Performance Level 1,45
Joe Carlson Elementary School,Douglas Unified District,Math,207,40,Percent Performance Level 1,33
Paul H Huber Jr High School,Douglas Unified District,Math,521,26,Percent Performance Level 1,53
Ray Borane Middle School,Douglas Unified District,Math,443,21,Percent Performance Level 1,62
Sarah Marley School,Douglas Unified District,Math,131,18,Percent Performance Level 1,48
Stevenson Elementary School,Douglas Unified District,Math,243,33,Percent Performance Level 1,35
Duncan Elementary,Duncan Unified District,Math,179,32,Percent Performance Level 1,47
Duncan High School,Duncan Unified District,Math,86,24,Percent Performance Level 1,57
Ashton Ranch Elementary School,Dysart Unified District,Math,520,34,Percent Performance Level 1,42
Canyon Ridge School,Dysart Unified District,Math,642,64,Percent Performance Level 1,16
Cimarron Springs Elementary,Dysart Unified District,Math,588,54,Percent Performance Level 1,21
Countryside Elementary School,Dysart Unified District,Math,490,42,Percent Performance Level 1,39
Dysart Elementary School,Dysart Unified District,Math,632,38,Percent Performance Level 1,36
Dysart High School,Dysart Unified District,Math,1208,27,Percent Performance Level 1,49
Dysart iSchool,Dysart Unified District,Math,920,28,Percent Performance Level 1,55
El Mirage School,Dysart Unified District,Math,528,27,Percent Performance Level 1,49
Kingswood Elementary School,Dysart Unified District,Math,386,42,Percent Performance Level 1,37
Luke Elementary School,Dysart Unified District,Math,535,42,Percent Performance Level 1,37
Marley Park Elementary,Dysart Unified District,Math,772,52,Percent Performance Level 1,24
Mountain View,Dysart Unified District,Math,609,45,Percent Performance Level 1,32
Parkview Elementary,Dysart Unified District,Math,454,37,Percent Performance Level 1,39
Rancho Gabriela,Dysart Unified District,Math,636,51,Percent Performance Level 1,27
Riverview School,Dysart Unified District,Math,555,22,Percent Performance Level 1,55
Shadow Ridge High School,Dysart Unified District,Math,1695,35,Percent Performance Level 1,43
Sonoran Heights Elementary,Dysart Unified District,Math,598,59,Percent Performance Level 1,18
Sunset Hills Elementary,Dysart Unified District,Math,801,44,Percent Performance Level 1,33
