School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Mohave Accelerated Elementary School,"Mohave Accelerated Elementary School, Inc.",Math,193,60,Percent Performance Level 1,14
Mohave Accelerated Elementary School East,"Mohave Accelerated Elementary School, Inc.",Math,55,67,Percent Performance Level 1,11
Mohave Accelerated Learning Center,Mohave Accelerated Learning Center,Math,380,48,Percent Performance Level 1,25
Camp Mohave Elementary School,Mohave Valley Elementary District,Math,345,40,Percent Performance Level 1,26
Mohave Valley Junior High School,Mohave Valley Elementary District,Math,400,33,Percent Performance Level 1,48
Mohawk Valley School,Mohawk Valley Elementary District,Math,120,35,Percent Performance Level 1,34
Montessori Academy,"Montessori Academy, Inc.",Math,105,63,Percent Performance Level 1,13
Montessori Day Public Schools Chartered - Mountainside,"Montessori Day Public Schools Chartered, Inc.",Math,104,62,Percent Performance Level 1,13
Montessori Day Public Schools Chartered - Tempe,"Montessori Day Public Schools Chartered, Inc.",Math,41,85,Percent Performance Level 1,2
Montessori Education Centre Charter School - Mesa,Montessori Education Centre Charter School,Math,105,77,Percent Performance Level 1,8
Montessori Education Centre Charter School - North Campus,Montessori Education Centre Charter School,Math,80,54,Percent Performance Level 1,23
Montessori House Charter School,"Montessori House, Inc.",Math,26,54,Percent Performance Level 1,15
Fairbanks Middle School,Morenci Unified District,Math,393,39,Percent Performance Level 1,38
Metcalf Elementary School,Morenci Unified District,Math,251,67,Percent Performance Level 1,13
Morenci High School,Morenci Unified District,Math,283,31,Percent Performance Level 1,44
Sun Valley Charter School,"Morrison Education Group, Inc.",Math,181,36,Percent Performance Level 1,28
Morristown Elementary School,Morristown Elementary District,Math,86,47,Percent Performance Level 1,23
Mountain Oak Charter School,"Mountain Oak Charter School, Inc.",Math,112,36,Percent Performance Level 1,36
Mountain Rose Academy,"Mountain Rose Academy, Inc.",Math,64,11,Percent Performance Level 1,73
Mountain School,"Mountain School, Inc.",Math,96,61,Percent Performance Level 1,10
Alfred F Garcia School,Murphy Elementary District,Math,277,17,Percent Performance Level 1,62
Jack L Kuban Elementary School,Murphy Elementary District,Math,236,28,Percent Performance Level 1,42
William R Sullivan Elementary School,Murphy Elementary District,Math,393,20,Percent Performance Level 1,53
Naco Elementary School,Naco Elementary District,Math,213,17,Percent Performance Level 1,64
Desert Oasis Elementary School,Nadaburg Unified School District,Math,309,31,Percent Performance Level 1,45
Nadaburg Elementary School,Nadaburg Unified School District,Math,253,31,Percent Performance Level 1,46
New Horizon School for the Performing Arts,New Horizon School for the Performing Arts,Math,86,27,Percent Performance Level 1,47
New School for the Arts,New School For The Arts,Math,113,27,Percent Performance Level 1,48
New School for the Arts Middle School,New School for the Arts Middle School,Math,71,20,Percent Performance Level 1,58
New World Educational Center,New World Educational Center,Math,146,45,Percent Performance Level 1,28
Noah Webster Schools- Mesa,Noah Webster Schools - Mesa,Math,551,60,Percent Performance Level 1,16
Noah Webster Schools-Pima,Noah Webster Schools-Pima,Math,203,36,Percent Performance Level 1,29
A J Mitchell Elementary School,Nogales Unified District,Math,224,21,Percent Performance Level 1,55
Challenger Elementary School,Nogales Unified District,Math,288,32,Percent Performance Level 1,32
Desert Shadows Middle School,Nogales Unified District,Math,709,46,Percent Performance Level 1,36
Francisco Vasquez De Coronado Elementary School,Nogales Unified District,Math,296,69,Percent Performance Level 1,10
Lincoln Elementary School,Nogales Unified District,Math,204,58,Percent Performance Level 1,19
Mary L Welty Elementary School,Nogales Unified District,Math,195,44,Percent Performance Level 1,21
Nogales High School,Nogales Unified District,Math,1350,21,Percent Performance Level 1,51
Robert Bracker Elementary,Nogales Unified District,Math,144,63,Percent Performance Level 1,17
Wade Carpenter Middle School,Nogales Unified District,Math,615,21,Percent Performance Level 1,63
Great Hearts Academies - North Phoenix Prep,North Phoenix Preparatory Academy,Math,313,68,Percent Performance Level 1,12
Arizona Preparatory Academy,"North Star Charter School, Inc.",Math,39,8,Percent Performance Level 1,77
Northland Preparatory Academy,Northland Preparatory Academy,Math,480,60,Percent Performance Level 1,17
Nosotros Academy,"Nosotros, Inc",Math,87,16,Percent Performance Level 1,56
Ombudsman - Charter Northeast,"Ombudsman Educational Services, Ltd.,a subsidiary of Educational Services of Ame",Math,26,23,Percent Performance Level 1,54
Omega Alpha Academy School,Omega Alpha Academy,Math,150,33,Percent Performance Level 1,35
Open Doors Community School,"Open Doors Community School, Inc.",Math,87,24,Percent Performance Level 1,45
Mountain Vista School,Oracle Elementary District,Math,254,27,Percent Performance Level 1,41
Clarendon School,Osborn Elementary District,Math,470,47,Percent Performance Level 1,26
Encanto School,Osborn Elementary District,Math,165,44,Percent Performance Level 1,28
Longview Elementary School,Osborn Elementary District,Math,313,32,Percent Performance Level 1,39
Osborn Middle School,Osborn Elementary District,Math,584,39,Percent Performance Level 1,40
Solano School,Osborn Elementary District,Math,371,27,Percent Performance Level 1,45
Owens Elementary School,Owens School District No.6,Math,12,42,Percent Performance Level 1,25
Arts Academy at Estrella Mountain,P.L.C. Charter Schools,Math,771,27,Percent Performance Level 1,47
PACE Preparatory Academy,"PACE Preparatory Academy, Inc.",Math,33,9,Percent Performance Level 1,76
Desert View Elementary Intermediate,Page Unified District,Math,607,32,Percent Performance Level 1,41
Manson Mesa High School,Page Unified District,Math,33,12,Percent Performance Level 1,70
Page High School,Page Unified District,Math,639,15,Percent Performance Level 1,61
Page Middle School,Page Unified District,Math,624,21,Percent Performance Level 1,64
STAR Charter School,"Painted Desert Demonstration Projects, Inc.",Math,92,20,Percent Performance Level 1,61
"Painted Desert Montessori, LLC","Painted Desert Montessori, LLC",Math,202,14,Percent Performance Level 1,65
Willow Creek Charter School,Painted Pony Ranch Charter School,Math,62,40,Percent Performance Level 1,26
Palo Verde Elementary School,Palo Verde Elementary District,Math,301,42,Percent Performance Level 1,33
Kiser Elementary School,Paloma School District,Math,73,29,Percent Performance Level 1,37
Coronado Elementary School,Palominas Elementary District,Math,343,55,Percent Performance Level 1,20
Palominas Elementary School,Palominas Elementary District,Math,372,56,Percent Performance Level 1,22
Pan-American Charter School,Pan-American Elementary Charter,Math,504,38,Percent Performance Level 1,36
Aire Libre Elementary School,Paradise Valley Unified District,Math,171,45,Percent Performance Level 1,27
Arrowhead Elementary School,Paradise Valley Unified District,Math,217,34,Percent Performance Level 1,42
Boulder Creek Elementary School,Paradise Valley Unified District,Math,420,74,Percent Performance Level 1,8
