School Name,District/Charter Holder Name,Content Area,Test Level,Subgroup/Ethnicity,Number Tested,Percent Passing,Percent Performance Level 1,Percent Performance Level 2,Percent Performance Level 3,Percent Performance Level 4
Balsz Elementary School,Balsz Elementary District,Math,All,All Students,733,25,55,20,15,10
Brunson-Lee Elementary School,Balsz Elementary District,Math,All,All Students,202,19,54,27,17,2
David Crockett Elementary School,Balsz Elementary District,English Language Arts,All,All Students,239,28,55,16,25,3
David Crockett Elementary School,Balsz Elementary District,Math,All,All Students,239,26,51,23,20,6
Griffith Elementary School,Balsz Elementary District,English Language Arts,All,All Students,272,27,53,20,22,6
Griffith Elementary School,Balsz Elementary District,Math,All,All Students,272,28,49,23,22,7
BASIS Ahwatukee,"BASIS Schools, Inc.",English Language Arts,All,All Students,563,81,7,12,53,28
BASIS Ahwatukee,"BASIS Schools, Inc.",Math,All,All Students,561,91,2,7,35,56
BASIS Chandler,"BASIS Schools, Inc.",English Language Arts,All,All Students,866,91,3,6,43,48
BASIS Chandler Primary - North Campus,"BASIS Schools, Inc.",English Language Arts,All,All Students,222,81,9,9,41,40
BASIS Chandler Primary - North Campus,"BASIS Schools, Inc.",Math,All,All Students,223,87,6,7,34,53
BASIS Chandler Primary- South Campus,"BASIS Schools, Inc.",English Language Arts,All,All Students,191,86,8,6,39,47
BASIS Flagstaff,"BASIS Schools, Inc.",English Language Arts,All,All Students,562,83,6,11,44,39
BASIS Flagstaff,"BASIS Schools, Inc.",Math,All,All Students,479,86,4,10,42,44
BASIS Goodyear,"BASIS Schools, Inc.",English Language Arts,All,All Students,204,77,6,17,52,25
BASIS Goodyear,"BASIS Schools, Inc.",Math,All,All Students,249,87,4,9,40,47
BASIS Goodyear Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,275,68,15,17,51,17
BASIS Goodyear Primary,"BASIS Schools, Inc.",Math,All,All Students,275,76,8,17,41,35
BASIS Mesa,"BASIS Schools, Inc.",English Language Arts,All,All Students,571,86,5,9,45,41
BASIS Mesa,"BASIS Schools, Inc.",Math,All,All Students,596,87,3,9,38,49
BASIS Oro Valley Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,375,85,6,8,46,39
BASIS Oro Valley Primary,"BASIS Schools, Inc.",Math,All,All Students,375,90,2,7,41,50
BASIS Peoria,"BASIS Schools, Inc.",English Language Arts,All,All Students,740,89,2,9,43,46
BASIS Peoria Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,254,83,9,8,48,35
BASIS Peoria Primary,"BASIS Schools, Inc.",Math,All,All Students,254,90,2,7,47,43
BASIS Phoenix,"BASIS Schools, Inc.",English Language Arts,All,All Students,698,91,2,7,43,48
BASIS Phoenix,"BASIS Schools, Inc.",Math,All,All Students,656,88,3,9,30,57
BASIS Phoenix Central Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,404,69,18,13,47,22
BASIS Phoenix Central Primary,"BASIS Schools, Inc.",Math,All,All Students,432,77,8,15,42,36
BASIS Prescott,"BASIS Schools, Inc.",English Language Arts,All,All Students,548,80,9,12,47,33
BASIS Prescott,"BASIS Schools, Inc.",Math,All,All Students,525,84,4,13,40,44
BASIS Scottsdale,"BASIS Schools, Inc.",English Language Arts,All,All Students,1067,91,2,7,43,48
BASIS Scottsdale Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,139,85,9,6,53,32
BASIS Scottsdale Primary,"BASIS Schools, Inc.",Math,All,All Students,139,93,2,5,38,55
BASIS Tucson North,"BASIS Schools, Inc.",English Language Arts,All,All Students,870,86,4,10,46,40
BASIS Tucson North,"BASIS Schools, Inc.",Math,All,All Students,713,90,2,8,39,50
BASIS Tucson Primary,"BASIS Schools, Inc.",English Language Arts,All,All Students,313,76,12,12,37,39
Beaver Creek School,Beaver Creek Elementary District,English Language Arts,All,All Students,188,21,57,22,18,3
Beaver Creek School,Beaver Creek Elementary District,Math,All,All Students,191,20,58,22,15,5
Imagine Bell Canyon,"Bell Canyon Charter School, Inc",English Language Arts,All,All Students,222,45,36,19,31,14
Imagine Bell Canyon,"Bell Canyon Charter School, Inc",Math,All,All Students,219,47,30,24,29,17
Benchmark School,"Benchmark School, Inc.",English Language Arts,All,All Students,232,81,8,12,52,28
Benchmark School,"Benchmark School, Inc.",Math,All,All Students,232,80,5,15,46,34
Benjamin Franklin Charter School - Crismon,Benjamin Franklin Charter School,English Language Arts,All,All Students,397,63,20,17,47,16
Benjamin Franklin Charter School - Crismon,Benjamin Franklin Charter School,Math,All,All Students,398,64,12,24,43,21
Benjamin Franklin Charter School - Gilbert,Benjamin Franklin Charter School,English Language Arts,All,All Students,291,67,14,19,54,13
Benjamin Franklin Charter School - Gilbert,Benjamin Franklin Charter School,Math,All,All Students,291,70,11,19,42,28
Benjamin Franklin Charter School - Power,Benjamin Franklin Charter School,English Language Arts,All,All Students,411,68,15,17,50,18
Benjamin Franklin Charter School - Power,Benjamin Franklin Charter School,Math,All,All Students,410,73,6,21,42,31
Benjamin Franklin High School,Benjamin Franklin Charter School,English Language Arts,All,All Students,883,69,12,19,43,26
Benjamin Franklin High School,Benjamin Franklin Charter School,Math,All,All Students,931,62,15,24,38,24
Benson High School,Benson Unified School District,English Language Arts,All,All Students,290,53,23,24,38,15
Benson High School,Benson Unified School District,Math,All,All Students,301,52,21,27,40,12
Benson Middle School,Benson Unified School District,English Language Arts,All,All Students,294,50,27,23,41,9
Benson Middle School,Benson Unified School District,Math,All,All Students,295,49,28,23,37,13
Benson Primary School,Benson Unified School District,English Language Arts,All,All Students,286,51,31,17,35,17
Benson Primary School,Benson Unified School District,Math,All,All Students,286,61,19,20,36,25
Salome High School,Bicentennial Union High School District,English Language Arts,All,All Students,76,13,75,12,11,3
Bisbee High School,Bisbee Unified District,English Language Arts,All,All Students,243,19,61,20,14,5
Bisbee High School,Bisbee Unified District,Math,All,All Students,251,14,65,21,12,2
Greenway Primary School,Bisbee Unified District,English Language Arts,All,All Students,98,32,53,15,30,2
Greenway Primary School,Bisbee Unified District,Math,All,All Students,98,43,31,27,31,12
Lowell School,Bisbee Unified District,English Language Arts,All,All Students,187,33,40,27,25,9
Lowell School,Bisbee Unified District,Math,All,All Students,188,37,39,23,26,11
Sky Islands,Blue Adobe Project,English Language Arts,All,All Students,49,45,45,10,35,10
Sky Islands,Blue Adobe Project,Math,All,All Students,51,35,51,14,27,8
Blue Ridge Elementary School,Blue Ridge Unified School District No. 32,English Language Arts,All,All Students,634,34,44,21,26,8
Blue Ridge Elementary School,Blue Ridge Unified School District No. 32,Math,All,All Students,630,35,39,26,26,9
Blue Ridge High School,Blue Ridge Unified School District No. 32,English Language Arts,All,All Students,543,31,54,15,22,9
Blue Ridge High School,Blue Ridge Unified School District No. 32,Math,All,All Students,587,20,59,21,15,5
Blue Ridge Jr High School,Blue Ridge Unified School District No. 32,English Language Arts,All,All Students,352,38,38,24,32,6
Blue Ridge Jr High School,Blue Ridge Unified School District No. 32,Math,All,All Students,395,38,44,18,21,17
Hope High School Online,Blueprint Education,English Language Arts,All,All Students,94,32,49,19,28,4
Bonita Elementary School,Bonita Elementary District,English Language Arts,All,All Students,57,42,28,30,33,9
Bonita Elementary School,Bonita Elementary District,Math,All,All Students,56,48,16,36,38,11
Mesa Arts Academy,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,English Language Arts,All,All Students,153,51,25,24,40,11
Mesa Arts Academy,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,Math,All,All Students,153,49,21,30,34,15
Bright Beginnings School #1,"Bright Beginnings School, Inc.",English Language Arts,All,All Students,123,86,6,8,49,37
Bright Beginnings School #1,"Bright Beginnings School, Inc.",Math,All,All Students,123,81,8,11,39,42
Bales Elementary School,Buckeye Elementary District,English Language Arts,All,All Students,572,19,60,21,16,3
Bales Elementary School,Buckeye Elementary District,Math,All,All Students,574,14,60,26,12,2
Buckeye Elementary School,Buckeye Elementary District,Math,All,All Students,516,20,58,22,16,5
Inca Elementary School,Buckeye Elementary District,English Language Arts,All,All Students,573,27,53,21,22,5
Inca Elementary School,Buckeye Elementary District,Math,All,All Students,580,26,49,25,20,6
Marionneaux Elementary School,Buckeye Elementary District,English Language Arts,All,All Students,533,23,59,18,19,4
Marionneaux Elementary School,Buckeye Elementary District,Math,All,All Students,536,21,54,25,17,4
Steven R. Jasinski Elementary School,Buckeye Elementary District,English Language Arts,All,All Students,321,26,57,17,22,4
Steven R. Jasinski Elementary School,Buckeye Elementary District,Math,All,All Students,323,28,49,23,24,4
Sundance Elementary,Buckeye Elementary District,English Language Arts,All,All Students,544,34,47,20,26,8
Sundance Elementary,Buckeye Elementary District,Math,All,All Students,547,34,41,26,21,13
Westpark Elementary School,Buckeye Elementary District,English Language Arts,All,All Students,493,35,44,21,28,7
Westpark Elementary School,Buckeye Elementary District,Math,All,All Students,496,40,35,24,23,17
Buckeye Union High School,Buckeye Union High School District,English Language Arts,All,All Students,1099,23,59,19,17,6
Buckeye Union High School,Buckeye Union High School District,Math,All,All Students,838,35,42,24,29,6
Estrella Foothills High School,Buckeye Union High School District,English Language Arts,All,All Students,819,36,44,20,23,12
Estrella Foothills High School,Buckeye Union High School District,Math,All,All Students,787,51,22,27,39,13
Youngker High School,Buckeye Union High School District,English Language Arts,All,All Students,1147,26,54,20,20,6
Youngker High School,Buckeye Union High School District,Math,All,All Students,1010,40,36,24,29,11
Bullhead City Jr High School,Bullhead City School District,Math,All,All Students,405,21,61,19,15,6
Desert Valley School,Bullhead City School District,English Language Arts,All,All Students,444,27,58,15,22,5
Desert Valley School,Bullhead City School District,Math,All,All Students,450,30,39,30,22,9
Diamondback Elementary School,Bullhead City School District,English Language Arts,All,All Students,280,36,45,19,29,7
Diamondback Elementary School,Bullhead City School District,Math,All,All Students,281,42,27,31,27,14
Fox Creek Jr High School,Bullhead City School District,English Language Arts,All,All Students,489,33,44,22,28,5
Fox Creek Jr High School,Bullhead City School District,Math,All,All Students,490,30,50,20,19,11
Sunrise Elementary,Bullhead City School District,English Language Arts,All,All Students,186,32,51,17,26,6
Sunrise Elementary,Bullhead City School District,Math,All,All Students,187,34,36,30,26,8
Learning Foundation and Performing Arts Alta Mesa,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",English Language Arts,All,All Students,149,30,48,23,23,6
Learning Foundation and Performing Arts Alta Mesa,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",Math,All,All Students,150,21,52,27,18,3
Learning Foundation and Performing Arts Gilbert,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",English Language Arts,All,All Students,366,45,32,23,36,9
Learning Foundation and Performing Arts Gilbert,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",Math,All,All Students,364,30,47,24,24,5
Learning Foundation and Performing Arts Warner,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",English Language Arts,All,All Students,258,56,23,21,44,12
Learning Foundation and Performing Arts Warner,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",Math,All,All Students,258,57,18,25,33,24
Learning Foundation,"CAFA, Inc. dba Learning Foundation Performing Arts School",English Language Arts,All,All Students,94,56,30,14,47,10
Learning Foundation,"CAFA, Inc. dba Learning Foundation Performing Arts School",Math,All,All Students,95,51,27,22,35,16
Calibre Academy Surprise,Calibre Academy,English Language Arts,All,All Students,326,45,33,21,37,8
Calibre Academy Surprise,Calibre Academy,Math,All,All Students,327,41,29,30,28,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",English Language Arts,All,All Students,89,55,27,18,42,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",English Language Arts,All,All Students,87,52,33,15,39,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",Math,All,All Students,89,49,21,29,36,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",Math,All,All Students,87,53,30,17,37,16
Camelback Academy,"Camelback Education, Inc",English Language Arts,All,All Students,364,32,47,21,28,4
Camelback Academy,"Camelback Education, Inc",Math,All,All Students,364,28,41,30,23,6
Camp Verde Accommodation School,Camp Verde Unified District,English Language Arts,All,All Students,36,6,83,11,3,3
Camp Verde Elementary School,Camp Verde Unified District,English Language Arts,All,All Students,337,32,51,18,25,7
